"party","mp","B","D","H","J","K","L","M","O"
"Labour","Nic Dakin","0",NA,NA,"1","1",NA,"1","0"
"Labour","Nick Smith","0",NA,NA,"1","1",NA,"1","0"
"Labour","Nick Thomas-Symonds","0",NA,NA,"1","1",NA,"1","0"
"Labour","Owen Smith","0","0","0",NA,NA,"1","1","0"
"Labour","Paul Blomfield","0","1","0","1","1","1","1","0"
"Labour","Paul Farrelly","0","1","0","1","1","1","1","0"
"Labour","Paula Sherriff","0","1",NA,"1","1",NA,NA,"0"
"Labour","Peter Dowd","0","1",NA,"1","1",NA,"1","0"
"Labour","Peter Kyle","0","1","0","1","1","1","1","0"
"Labour","Phil Wilson","0","1",NA,"1","1",NA,"1","0"
"Labour","Rachel Reeves","0","1","0","1","1","1","1","0"
"Labour","Rebecca Long Bailey","0","1",NA,"1","1",NA,"1","0"
"Labour","Richard Burden","0","1","0","1","1",NA,"1","0"
"Labour","Richard Burgon","0","1",NA,"1","1",NA,"1","0"
"Labour","Rosie Cooper","0","0","0","1","1","0","0","0"
"Labour","Rosie Duffield","0",NA,"0","1","1","1","1","0"
"Labour","Rushanara Ali","0","1","0","1","1","1","1","0"
"Labour","Ruth Cadbury","0","0","0","1","1","1","1","0"
"Labour","Ruth George","0",NA,"0","1","1","1","1","0"
"Labour","Ruth Smeeth","0","0","0","1","1","0","0","0"
"Labour","Sandy Martin","0","1","0","1","1","1","1","0"
"Labour","Sarah Champion","0","0","0","1","1","0","0","0"
"Labour","Sarah Jones","0","1",NA,"1","1","1","1","0"
"Labour","Shabana Mahmood","0","1","0","1","1","1","1","0"
"Labour","Siobhain McDonagh","0","0","0","0","0","1","1","0"
"Labour","Sir Alan Campbell","0",NA,NA,"1","1",NA,"1","0"
"Labour","Sir David Crausby","0","1","0","1","1","1","1","0"
"Labour","Sir Kevin Barron","0","0","0","1",NA,"0","0","0"
"Labour","Stephanie Peacock","0","1",NA,"1","1",NA,"0","0"
"Labour","Stephen Kinnock","0","1","1","1","1",NA,NA,"0"
"Labour","Stephen Morgan","0","0","0","1","1","1","1","0"
"Labour","Stephen Pound","0","1",NA,"1","1",NA,"1","0"
"Labour","Stephen Timms","0","1",NA,"1","1","1","1","0"
"Labour","Steve McCabe","0","1",NA,"1","1",NA,"1","0"
"Labour","Sue Hayman","0","1",NA,"1","1",NA,"1","0"
"Labour","Susan Elan Jones","0",NA,"0","1","1","1","1","0"
"Labour","Teresa Pearce","0",NA,NA,"1","1",NA,"1","0"
"Labour","Thangam Debbonaire","0","1",NA,"1","1","1","1","0"
"Labour","Thelma Walker","0","0","0","1","1","1","1","0"
"Labour","Toby Perkins","0","1","0","1","1","0","1","0"
"Labour","Tom Watson","0","1",NA,"1","1",NA,"1","0"
"Labour","Tonia Antoniazzi","0","0","0","1","1","1","1","0"
"Labour","Tony Lloyd","0","1","0","1","1",NA,"1","0"
"Labour","Tulip Siddiq","0","0","0","1","1","1","1","0"
"Labour","Valerie Vaz","0","1",NA,"1","1",NA,"1","0"
"Labour","Vernon Coaker","0","1","0","1","1",NA,"1","0"
"Labour","Vicky Foxcroft","0","1",NA,"1","1","1","1","0"
"Labour","Wayne David","0","1",NA,"1","1",NA,"1","0"
"Labour","Wes Streeting","0",NA,"0","1","1","1","1","0"
"Labour","Yasmin Qureshi","0","1",NA,"1","1",NA,"1","0"
"Labour","Yvette Cooper","0","1",NA,"1","1",NA,"1","0"
"Labour","Yvonne Fovargue","0",NA,NA,"1","1",NA,"0",NA
"Labour (Co-op)","Alex Norris","0","1",NA,"1","1",NA,"1","0"
"Labour (Co-op)","Alex Sobel","0","1","0","1","1","1","1","0"
"Labour (Co-op)","Anna Turley","0",NA,"0","1","1","1","1","0"
"Labour (Co-op)","Anneliese Dodds","0","1",NA,"1","1","1","1","0"
"Labour (Co-op)","Chris Evans","0","1",NA,"1","1",NA,NA,"0"
"Labour (Co-op)","Christina Rees","0","1",NA,"1","1",NA,"1","0"
"Labour (Co-op)","Dame Louise Ellman","0","0","0","1","1","1","1","0"
"Labour (Co-op)","Dr David Drew","0","1",NA,"1","1","1","1","0"
"Labour (Co-op)","Gareth Snell","0","0","0","1","1","0","0","0"
"Labour (Co-op)","Gareth Thomas","0","1","0","1","1","1","1","0"
"Labour (Co-op)","Ged Killen","0",NA,"0","1","1","1","1","0"
"Labour (Co-op)","Geraint Davies","0",NA,"0","1","1","1","1","0"
"Labour (Co-op)","Jim McMahon","0","1",NA,"1","1",NA,NA,"0"
"Labour (Co-op)","Jo Platt","0","1",NA,"1","1",NA,NA,"0"
"Labour (Co-op)","Jonathan Ashworth","0","1",NA,"1","1",NA,"1","0"
"Labour (Co-op)","Jonathan Reynolds","0","1",NA,"1","1",NA,"1","0"
"Labour (Co-op)","Kate Osamor","0","0","0","1","1","1","1","0"
"Labour (Co-op)","Lloyd Russell-Moyle","0","0","0","1","1","1","1","0"
"Labour (Co-op)","Lucy Powell","0","1",NA,"1","1",NA,"1","0"
"Labour (Co-op)","Luke Pollard","0","1","0","1","1","1","1","0"
"Labour (Co-op)","Meg Hillier","0",NA,"0","1","1","1","1","0"
"Labour (Co-op)","Mr Adrian Bailey","0","1",NA,"1","1",NA,"1","0"
"Labour (Co-op)","Mr Barry Sheerman","0",NA,"0","1","1","1","1","0"
"Labour (Co-op)","Mr Paul Sweeney","0","1",NA,"1","1","1","1","0"
"Labour (Co-op)","Mr Steve Reed","0","1",NA,"1","1","1","1","0"
"Labour (Co-op)","Preet Kaur Gill","0",NA,NA,"1","1","1","1","0"
"Labour (Co-op)","Rachael Maskell","0","0","0","1","1","1","1","0"
"Labour (Co-op)","Seema Malhotra","0","1","0","1","1",NA,"1","0"
"Labour (Co-op)","Sir Mark Hendrick","0","1","1","1","1","1","1","0"
"Labour (Co-op)","Stella Creasy","0",NA,"0","1","1","1","1","0"
"Labour (Co-op)","Stephen Doughty","0",NA,"0","1","1","1","1","0"
"Labour (Co-op)","Stephen Twigg","0","1",NA,"1","1","1","1","0"
"Labour (Co-op)","Tracy Brabin","0","1",NA,"1","1",NA,NA,"0"
"Liberal Democrat","Christine Jardine","0",NA,NA,NA,NA,"1","1","0"
"Liberal Democrat","Jamie Stone","0",NA,NA,NA,NA,"1","1","0"
"Liberal Democrat","Jo Swinson","0",NA,NA,NA,NA,"1","1","0"
"Liberal Democrat","Layla Moran","0",NA,NA,NA,NA,"1","1","0"
"Liberal Democrat","Mr Alistair Carmichael","0",NA,NA,NA,NA,"1","1","0"
"Liberal Democrat","Norman Lamb","0","1",NA,"1",NA,NA,"1","0"
"Liberal Democrat","Sir Edward Davey","0",NA,NA,NA,NA,"1","1","0"
"Liberal Democrat","Sir Vince Cable","0",NA,"0",NA,"0","1","1","0"
"Liberal Democrat","Tim Farron","0",NA,NA,NA,NA,"1","1","0"
"Liberal Democrat","Tom Brake","0",NA,NA,NA,NA,"1","1","0"
"Liberal Democrat","Wera Hobhouse","0","0","0","0","0","1","1","0"
"Plaid Cymru","Ben Lake","0","1",NA,NA,NA,"1","1","0"
"Plaid Cymru","Hywel Williams","0","1",NA,NA,NA,"1","1","0"
"Plaid Cymru","Jonathan Edwards","0","1",NA,NA,NA,"1","1","0"
"Plaid Cymru","Liz Saville Roberts","0","1",NA,NA,NA,"1","1","0"
"Scottish National Party","Alan Brown","0",NA,"0",NA,NA,"1","1","0"
"Scottish National Party","Alison Thewliss","0",NA,"0",NA,NA,"1","1","0"
"Scottish National Party","Angela Crawley","0",NA,"0",NA,NA,"1","1","0"
"Scottish National Party","Angus Brendan MacNeil","0",NA,"0",NA,NA,"1",NA,"0"
"Scottish National Party","Brendan O'Hara","0",NA,"0",NA,NA,"1","1","0"
"Scottish National Party","Carol Monaghan","0",NA,"0",NA,NA,"1","1","0"
"Scottish National Party","Chris Law","0",NA,"0",NA,NA,"1","1","0"
"Scottish National Party","Chris Stephens","0",NA,"0",NA,NA,"1","1","0"
"Scottish National Party","David Linden","0",NA,"0",NA,NA,"1","1","0"
"Scottish National Party","Deidre Brock","0",NA,"0",NA,NA,"1","1","0"
"Scottish National Party","Douglas Chapman","0",NA,"0",NA,NA,"1","1","0"
"Scottish National Party","Dr Lisa Cameron","0",NA,"0",NA,NA,"1","1","0"
"Scottish National Party","Dr Philippa Whitford","0",NA,"0",NA,NA,"1","1","0"
"Scottish National Party","Drew Hendry","0",NA,"0",NA,NA,"1","1","0"
"Scottish National Party","Gavin Newlands","0",NA,"0",NA,NA,"1","1","0"
"Scottish National Party","Hannah Bardell","0",NA,"0",NA,NA,"1","1","0"
"Scottish National Party","Ian Blackford","0",NA,"0",NA,NA,"1","1","0"
"Scottish National Party","Joanna Cherry","0",NA,"0",NA,NA,"1","1","0"
"Scottish National Party","Kirsty Blackman","0",NA,"0",NA,NA,"1","1","0"
"Scottish National Party","Marion Fellows","0",NA,"0",NA,NA,"1","1","0"
"Scottish National Party","Martin Docherty-Hughes","0",NA,"0",NA,NA,"1","1","0"
"Scottish National Party","Martyn Day","0",NA,"0",NA,NA,"1","1","0"
"Scottish National Party","Mhairi Black","0",NA,"0",NA,NA,"1","1","0"
"Scottish National Party","Neil Gray","0",NA,"0",NA,NA,"1","1","0"
"Scottish National Party","Patricia Gibson","0",NA,"0",NA,NA,"1","1","0"
"Scottish National Party","Patrick Grady","0",NA,"0",NA,NA,"1","1",NA
"Scottish National Party","Pete Wishart","0",NA,"0",NA,NA,"1",NA,"0"
"Scottish National Party","Peter Grant","0",NA,"0",NA,NA,"1","1","0"
"Scottish National Party","Ronnie Cowan","0",NA,"0",NA,NA,"1","1","0"
"Scottish National Party","Stephen Gethins","0",NA,"0",NA,NA,"1","1","0"
"Scottish National Party","Stewart Hosie","0",NA,"0",NA,NA,"1","1","0"
"Scottish National Party","Stewart Malcolm McDonald","0",NA,"0",NA,NA,"1","1","0"
"Scottish National Party","Stuart C. McDonald","0",NA,"0",NA,NA,"1","1","0"
"Scottish National Party","Tommy Sheppard","0",NA,"0",NA,NA,"1","1","0"
